COUNTRY OF ORIGIN,"Total, Recent Immigrants-Canada","Total, Recent Immigrants (Women)-Canada","Total, Recent Immigrants-Newfoundland and Labrador","Total, Recent Immigrants (Women)-Newfoundland and Labrador","Total, Recent Immigrants-Prince Edward Island","Total, Recent Immigrants (Women)-Prince Edward Island","Total, Recent Immigrants-Nova Scotia","Total, Recent Immigrants (Women)-Nova Scotia","Total, Recent Immigrants-New Brunswick","Total, Recent Immigrants (Women)-New Brunswick","Total, Recent Immigrants-Quebec","Total, Recent Immigrants (Women)-Quebec","Total, Recent Immigrants-Ontario","Total, Recent Immigrants (Women)-Ontario","Total, Recent Immigrants-Manitoba","Total, Recent Immigrants (Women)-Manitoba","Total, Recent Immigrants-Saskatchewan","Total, Recent Immigrants (Women)-Saskacthewan","Total, Recent Immigrants-Alberta","Total, Recent Immigrants (Women)-Alberta","Total, Recent Immigrants-British Columbia","Total, Recent Immigrants (Women)-British Columbia","Total, Recent Immigrants-Yukon","Total, Recent Immigrants (Women)-Yukon","Total, Recent Immigrants-Northwest Territories","Total, Recent Immigrants (Women)-Northwest Territories","Total, Recent Immigrants-Nunavut","Total, Recent Immigrants (Women)-Nunavut",% Women-Canada,% Women-Newfoundland and Labrador,% Women-Prince Edward Island,% Women-Nova Scotia,% Women-New Brunswick,% Women-Quebec,% Women-Ontario,% Women-Manitoba,% Women-Saskatchewan,% Women-Alberta,% Women-British Columbia,% Women-Yukon,% Women-Northwest Territories,% Women-Nunavut
Brazil,19895,10560,25,20,50,20,265,125,160,75,2575,1410,8725,4625,1435,695,170,75,1365,810,5130,2695,0,0,0,0,0,0,0.5307866298,0.8,0.4,0.4716981132,0.46875,0.5475728155,0.5300859599,0.4843205575,0.4411764706,0.5934065934,0.5253411306,#DIV/0!,#DIV/0!,#DIV/0!
Colombia,11455,6365,20,0,35,25,45,20,30,10,4295,2315,4260,2440,290,150,90,50,1310,775,1075,580,0,0,0,0,0,0,0.5556525535,0,0.7142857143,0.4444444444,0.3333333333,0.5389988359,0.5727699531,0.5172413793,0.5555555556,0.5916030534,0.5395348837,#DIV/0!,#DIV/0!,#DIV/0!
Haiti,10550,5400,0,0,0,0,0,0,75,40,8600,4395,1550,845,50,20,0,0,220,85,35,15,0,0,0,0,0,0,0.5118483412,#DIV/0!,#DIV/0!,#DIV/0!,0.5333333333,0.5110465116,0.5451612903,0.4,#DIV/0!,0.3863636364,0.4285714286,#DIV/0!,#DIV/0!,#DIV/0!
Jamaica,15155,7420,145,80,110,60,325,160,205,120,215,90,9970,4770,435,205,560,265,2130,1145,1005,490,15,10,20,15,15,10,0.4896073903,0.5517241379,0.5454545455,0.4923076923,0.5853658537,0.4186046512,0.4784353059,0.4712643678,0.4732142857,0.5375586854,0.4875621891,0.6666666667,0.75,0.6666666667
Mexico,17150,8745,20,10,30,15,85,25,200,120,2520,1280,5810,3065,660,335,560,250,4165,2025,3045,1595,40,20,10,10,0,0,0.5099125364,0.5,0.5,0.2941176471,0.6,0.5079365079,0.5275387263,0.5075757576,0.4464285714,0.4861944778,0.5238095238,0.5,1,#DIV/0!
United States of America,39875,20085,145,70,140,95,880,400,610,285,4140,1975,17945,9045,1035,515,990,520,5175,2715,8760,4430,40,25,0,10,15,15,0.5036990596,0.4827586207,0.6785714286,0.4545454545,0.4672131148,0.4770531401,0.5040401226,0.4975845411,0.5252525253,0.5246376812,0.5057077626,0.625,#DIV/0!,1
Venezuela,7060,4075,0,0,0,0,25,10,70,35,1690,1020,3400,1900,45,30,70,45,1220,695,530,330,0,0,0,0,0,0,0.5771954674,#DIV/0!,#DIV/0!,0.4,0.5,0.6035502959,0.5588235294,0.6666666667,0.6428571429,0.5696721311,0.6226415094,#DIV/0!,#DIV/0!,#DIV/0!
Other places of birth in Americas,33350,17570,70,45,100,35,490,210,295,155,6860,3440,16795,8955,1340,725,385,195,3715,2070,3265,1720,35,15,10,0,10,0,0.5268365817,0.6428571429,0.35,0.4285714286,0.5254237288,0.5014577259,0.5331944031,0.5410447761,0.5064935065,0.5572005384,0.5267993874,0.4285714286,0,0
France,27175,12610,30,20,45,15,80,35,390,200,20980,9655,3225,1560,160,70,65,30,405,200,1730,795,40,15,30,15,0,0,0.4640294388,0.6666666667,0.3333333333,0.4375,0.5128205128,0.4602001907,0.4837209302,0.4375,0.4615384615,0.4938271605,0.4595375723,0.375,0.5,#DIV/0!
Germany,5365,2705,30,10,0,0,185,80,65,30,530,240,1685,795,565,290,100,60,750,445,1380,705,75,45,0,0,0,0,0.504193849,0.3333333333,#DIV/0!,0.4324324324,0.4615384615,0.4528301887,0.471810089,0.5132743363,0.6,0.5933333333,0.5108695652,0.6,#DIV/0!,#DIV/0!
"Ireland, Republic of",6355,2350,55,25,15,10,115,40,10,0,100,15,2225,760,155,55,180,70,1060,425,2420,935,0,0,10,0,0,0,0.3697875688,0.4545454545,0.6666666667,0.347826087,0,0.15,0.3415730337,0.3548387097,0.3888888889,0.4009433962,0.3863636364,#DIV/0!,0,#DIV/0!
Italy,4240,1770,10,0,35,20,40,15,40,10,700,285,1770,730,130,65,50,15,470,180,995,445,0,0,0,0,0,0,0.4174528302,0,0.5714285714,0.375,0.25,0.4071428571,0.4124293785,0.5,0.3,0.3829787234,0.4472361809,#DIV/0!,#DIV/0!,#DIV/0!
Russian Federation,10905,6570,25,15,45,30,205,105,190,95,1365,850,5150,3135,655,335,100,65,1090,695,2075,1235,0,0,0,0,0,0,0.6024759285,0.6,0.6666666667,0.512195122,0.5,0.6227106227,0.6087378641,0.5114503817,0.65,0.6376146789,0.5951807229,#DIV/0!,#DIV/0!,#DIV/0!
Ukraine,14515,7945,0,0,35,15,265,120,475,225,1660,940,6035,3360,1305,695,755,415,2045,1125,1935,1045,0,0,0,0,0,0,0.547364795,#DIV/0!,0.4285714286,0.4528301887,0.4736842105,0.5662650602,0.5567522784,0.5325670498,0.5496688742,0.5501222494,0.5400516796,#DIV/0!,#DIV/0!,#DIV/0!
United Kingdom,22755,9200,125,35,130,70,735,275,255,95,975,360,8000,3180,405,165,590,200,3800,1630,7675,3165,55,25,10,10,0,0,0.4043067458,0.28,0.5384615385,0.3741496599,0.3725490196,0.3692307692,0.3975,0.4074074074,0.3389830508,0.4289473684,0.4123778502,0.4545454545,1,#DIV/0!
Other places of birth in Europe,43120,21960,105,45,135,70,530,270,535,270,7395,3845,19200,9830,1010,500,855,395,6135,3090,7090,3605,80,30,35,10,0,0,0.5092764378,0.4285714286,0.5185185185,0.5094339623,0.5046728972,0.5199459094,0.5119791667,0.495049505,0.4619883041,0.5036674817,0.5084626234,0.375,0.2857142857,#DIV/0!
Algeria,15745,8220,0,0,0,0,30,10,145,80,13975,7245,1130,585,250,160,0,0,155,105,65,20,0,0,0,0,0,0,0.5220704986,#DIV/0!,#DIV/0!,0.3333333333,0.5517241379,0.5184257603,0.517699115,0.64,#DIV/0!,0.6774193548,0.3076923077,#DIV/0!,#DIV/0!,#DIV/0!
Burundi,4935,2510,0,0,0,0,20,0,95,35,2290,1120,1790,970,90,35,90,35,450,230,110,75,0,0,0,0,0,0,0.5086119554,#DIV/0!,#DIV/0!,0,0.3684210526,0.4890829694,0.5418994413,0.3888888889,0.3888888889,0.5111111111,0.6818181818,#DIV/0!,#DIV/0!,#DIV/0!
Cameroon,11795,6250,10,10,0,0,20,15,130,60,8830,4650,1585,830,100,50,50,35,905,520,120,50,0,0,0,0,10,10,0.5298855447,1,#DIV/0!,0.75,0.4615384615,0.5266138165,0.523659306,0.5,0.7,0.5745856354,0.4166666667,#DIV/0!,#DIV/0!,1
"Congo, Democratic Republic of the",8915,4720,55,25,0,0,160,75,365,220,4055,2180,2275,1260,445,210,290,140,920,465,340,140,0,0,0,0,0,0,0.529444756,0.4545454545,#DIV/0!,0.46875,0.602739726,0.5376078915,0.5538461538,0.4719101124,0.4827586207,0.5054347826,0.4117647059,#DIV/0!,#DIV/0!,#DIV/0!
Côte d'Ivoire,7915,4125,0,0,0,0,40,25,85,45,6305,3255,1085,595,75,50,25,10,265,140,40,10,0,0,0,0,0,0,0.52116235,#DIV/0!,#DIV/0!,0.625,0.5294117647,0.5162569389,0.5483870968,0.6666666667,0.4,0.5283018868,0.25,#DIV/0!,#DIV/0!,#DIV/0!
Egypt,12120,5835,40,10,30,15,375,160,440,190,2385,1135,6370,3145,280,140,390,195,1190,595,610,255,0,0,10,0,0,0,0.4814356436,0.25,0.5,0.4266666667,0.4318181818,0.4758909853,0.4937205651,0.5,0.5,0.5,0.4180327869,#DIV/0!,0,#DIV/0!
Eritrea,16330,7575,100,45,0,0,50,0,35,10,300,135,7145,3350,1445,685,595,285,5120,2450,1515,585,0,0,25,20,0,0,0.4638701776,0.45,#DIV/0!,0,0.2857142857,0.45,0.4688593422,0.4740484429,0.4789915966,0.478515625,0.3861386139,#DIV/0!,0.8,#DIV/0!
Ethiopia,9385,4970,20,15,0,0,100,40,25,10,155,75,3480,1880,680,405,315,140,3960,2100,620,275,0,0,20,15,15,0,0.5295684603,0.75,#DIV/0!,0.4,0.4,0.4838709677,0.5402298851,0.5955882353,0.4444444444,0.5303030303,0.4435483871,#DIV/0!,0.75,0
Morocco,12835,6810,10,0,10,10,45,25,275,120,9515,5080,1890,980,220,105,85,40,510,290,275,160,0,0,0,0,0,0,0.5305804441,0,1,0.5555555556,0.4363636364,0.5338938518,0.5185185185,0.4772727273,0.4705882353,0.568627451,0.5818181818,#DIV/0!,#DIV/0!,#DIV/0!
