Province/Territory,Country of Origin,Number of Migrants (2016-21),% of All Migrants (2016-21)
Newfoundland and Labrador,Philippines,940,22.01405152
Newfoundland and Labrador,Syria,400,9.367681499
Newfoundland and Labrador,India,320,7.494145199
Newfoundland and Labrador,Nigeria,300,7.025761124
Newfoundland and Labrador,China,200,4.683840749
Prince Edward Island,China,1170,24.07407407
Prince Edward Island,India,665,13.68312757
Prince Edward Island,Philippines,630,12.96296296
Prince Edward Island,Vietnam,470,9.670781893
Prince Edward Island,Syria,220,4.526748971
Nova Scotia,India,3665,17.13818097
Nova Scotia,Philippines,2325,10.87210662
Nova Scotia,China,2045,9.562777648
Nova Scotia,Syria,2140,10.00701426
Nova Scotia,Nigeria,1440,6.73369184
New Brunswick,Philippines,2330,14.52618454
New Brunswick,Syria,1705,10.62967581
New Brunswick,India,1370,8.541147132
New Brunswick,China,970,6.047381546
New Brunswick,Nigeria,905,5.642144638
Quebec,France,20980,10.34822926
Quebec,Algeria,13975,6.893065009
Quebec,Syria,13390,6.604518102
Quebec,China,10735,5.294959061
Quebec,Morocco,9515,4.693203117
Ontario,India,139660,23.88657043
Ontario,China,54645,9.346138058
Ontario,Philippines,45235,7.736710679
Ontario,Syria,30180,5.161797907
Ontario,Pakistan,23970,4.099678457
Manitoba,India,13340,22.85420593
Manitoba,Philippines,11705,20.05310947
Manitoba,Nigeria,5105,8.745931129
Manitoba,China,3585,6.141853692
Manitoba,Syria,1575,2.698303923
Saskatchewan,Philippines,10460,24.26069813
Saskatchewan,India,7940,18.41586455
Saskatchewan,China,3690,8.55850632
Saskatchewan,Nigeria,3305,7.665545634
Saskatchewan,Pakistan,1685,3.908152615
Alberta,Philippines,47605,24.64409587
Alberta,India,31815,16.46994875
Alberta,Nigeria,9840,5.093958689
Alberta,China,9495,4.915359528
Alberta,Syria,7295,3.776466325
British Columbia,India,39390,19.95238578
British Columbia,China,31450,15.9305035
British Columbia,Philippines,21220,10.74865768
British Columbia,United States,8760,4.437240401
British Columbia,United Kingdom,7675,3.887650694
Yukon,India,260,23.11111111
Yukon,Philippines,230,20.44444444
Yukon,Germany,75,6.666666667
Yukon,United Kingdom,55,4.888888889
Yukon,France/Mexico/United States/Japan,40,3.555555556
Northwest Territories,Philippines,275,33.95061728
Northwest Territories,India,95,11.72839506
Northwest Territories,Syria,35,4.320987654
Northwest Territories,France/Sudan,30,3.703703704
Nunavut,Philippines,50,20.83333333
Nunavut,India,25,10.41666667
Nunavut,Nigeria/Ethiopia/United States/Jamaica,15,6.25
