QUARTER,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
Q1 2001,58485,99,46,460,203,8097,34801,1095,402,3830,9428,9,15,0
Q2 2001,70048,100,18,411,210,10733,41662,1235,384,4439,10807,18,26,5
Q3 2001,69951,89,29,495,220,10058,42152,1164,556,4591,10529,26,36,6
Q4 2001,52154,104,41,332,165,8716,30039,1098,361,3546,7720,12,18,2
Q1 2002,61589,106,31,364,170,9762,36136,1036,451,3929,9573,5,20,6
Q2 2002,72711,115,44,418,210,10578,44496,1527,450,4623,10202,23,20,5
Q3 2002,52919,66,7,315,164,9405,30426,1048,368,3099,7992,13,15,1
Q4 2002,41830,117,25,322,161,7836,22532,1004,398,3131,6290,9,5,0
Q1 2003,45558,68,23,311,155,7488,24990,1047,379,3102,7954,21,16,4
Q2 2003,58863,65,34,309,165,10184,31866,1803,415,4298,9688,13,23,0
Q3 2003,63340,148,47,465,164,11870,34239,1919,412,4576,9459,8,30,3
Q4 2003,53588,78,50,389,182,10018,28638,1734,462,3861,8132,17,25,2
Q1 2004,54927,151,82,394,183,10343,28720,1531,438,4078,8967,21,16,3
Q2 2004,67246,159,89,459,232,12330,36347,2234,584,4605,10156,14,34,3
Q3 2004,65589,176,53,549,199,12420,34736,2062,473,4522,10364,15,19,1
Q4 2004,48097,93,86,372,182,9159,25304,1600,450,3275,7543,12,20,1
Q1 2005,56439,147,72,328,178,9345,29269,1668,532,4355,10505,13,20,7
Q2 2005,74474,125,101,462,306,12496,40486,2357,644,5293,12166,18,20,0
Q3 2005,75946,108,98,680,367,13048,40536,2492,532,5590,12447,17,28,3
Q4 2005,55387,117,59,459,240,8426,30239,1580,411,4169,9652,17,16,2
Q1 2006,55134,112,60,504,322,9104,27365,2161,479,4727,10271,15,11,3
Q2 2006,67914,116,135,554,457,11421,34912,2648,698,5444,11478,29,18,4
Q3 2006,70354,126,200,896,470,13940,34179,3052,698,5713,11025,8,45,2
Q4 2006,58247,154,170,632,397,10217,29443,2188,851,4833,9322,13,24,3
Q1 2007,47873,109,149,542,374,9362,22342,2314,656,4014,7973,21,16,1
Q2 2007,61653,126,219,652,375,11550,29475,3240,891,5593,9499,14,13,6
Q3 2007,71665,144,420,755,497,13893,33294,3101,1115,6171,12212,29,29,5
Q4 2007,55572,167,204,581,397,10401,26221,2305,854,5088,9298,19,30,7
Q1 2008,53147,150,333,600,460,9500,23531,2063,972,5352,10129,22,28,7
Q2 2008,69248,174,325,732,443,12071,32004,3270,1350,7198,11592,27,45,17
