QUARTER,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
Q1 2001,286957,1740,397,4413,2546,58557,131521,5176,4425,21257,56571,100,236,18
Q2 2001,304225,1692,407,4572,2713,60387,142432,5372,4545,22759,58973,98,252,23
Q3 2001,323179,1812,411,4629,2684,61589,155717,5597,4751,24510,61039,146,262,32
Q4 2001,352727,1714,442,5322,3058,66367,172239,5982,4908,26286,65961,125,298,25
Q1 2002,334393,1687,409,5409,2985,63316,157626,5832,4858,25679,66200,80,284,28
Q2 2002,345243,1728,403,5826,3175,64289,163233,6062,5032,26160,68903,87,306,39
Q3 2002,356657,1869,404,6140,3109,65254,172107,6254,5061,26789,69200,136,300,34
Q4 2002,382588,2099,444,6616,3497,69061,187230,6697,5336,28197,72946,152,274,39
Q1 2003,363510,1934,427,6176,3440,65277,173946,6594,5208,27544,72537,129,260,38
Q2 2003,379378,1866,432,6146,3499,67801,184385,6872,5291,28503,74119,154,268,42
Q3 2003,393390,1942,433,6432,3505,69399,194097,7193,5371,28978,75526,190,282,42
Q4 2003,405878,2001,508,6923,3840,70348,202566,7314,5524,29443,76900,169,297,45
Q1 2004,386387,2031,462,6724,3852,65872,187049,7385,5455,29467,77557,141,353,39
Q2 2004,394738,1933,470,6863,3934,66494,192661,7599,5567,29964,78655,165,382,51
Q3 2004,403692,2118,459,7140,3847,68436,199059,7898,5679,30248,78146,225,380,57
Q4 2004,419722,2067,503,7529,4175,70172,208240,8214,5896,31319,80976,199,385,47
Q1 2005,400583,1939,509,7093,4187,66677,192321,8152,5695,31698,81730,163,369,50
Q2 2005,405439,2035,502,7106,4337,66558,194850,8189,5882,32135,83267,153,380,45
Q3 2005,412793,2251,519,7024,4199,67527,199493,8462,5974,32892,83849,189,366,48
Q4 2005,426522,2315,540,7543,4400,68545,206528,8508,6207,34529,86818,176,372,41
Q1 2006,403629,2044,520,7278,4361,65734,187107,8717,6129,34827,86335,162,359,56
Q2 2006,414159,2084,554,7361,4422,67169,192328,8922,6230,36404,88069,186,374,56
Q3 2006,428645,2179,593,7643,4321,70647,199651,9355,6251,38593,88708,239,405,60
Q4 2006,443766,2246,727,7659,4574,71568,207238,9366,6241,41209,92260,234,382,62
Q1 2007,416305,2229,675,7482,4468,66405,186521,9290,5949,42348,90347,184,350,57
Q2 2007,433299,2241,722,7514,4642,68102,192704,9616,6139,46402,94621,184,344,68
Q3 2007,456042,2318,743,7503,4693,72213,201694,10425,6480,52181,97046,250,420,76
Q4 2007,477514,2433,857,7933,4936,73429,210877,10603,6841,57018,101797,258,403,129
Q1 2008,460221,2344,843,7753,4804,71296,195176,10702,6741,59627,100330,219,324,62
Q2 2008,476346,2482,865,7829,4922,73191,201570,10792,7105,63684,103249,294,319,44
Q3 2008,507464,2567,983,7919,5045,79366,212406,11630,7628,70935,108175,365,396,49
Q4 2008,539956,2805,1075,8679,5446,83178,223607,11528,8280,78698,115845,397,368,50
