CMA,REGION,POP (2021),NON-PERMANENT RESIDENTS,PER CAPITA
Toronto,Ontario,6202225,249980,4030.489058
Montreal,Quebec,4291732,161680,3767.243621
Vancouver,British Columbia,2642825,133275,5042.89917
Ottawa,Ontario,1135014,29800,2625.518276
Calgary,Prairies,1481806,27865,1880.475582
Edmonton,Prairies,1418118,25580,1803.79912
Quebec City,Quebec,839311,13115,1562.591221
Winnipeg,Prairies,834678,30220,3620.557868
Hamilton,Ontario,785184,14410,1835.238619
Kitchener–Cambridge–Waterloo,Ontario,575847,22250,3863.873564
London,Ontario,543551,19560,3598.558369
Halifax,Atlantic,465703,17040,3658.984374
St. Catharines–Niagara,Ontario,433604,8235,1899.198347
Windsor,Ontario,422630,9255,2189.858742
Oshawa,Ontario,415311,2595,624.8329565
Victoria,British Columbia,397237,8730,2197.680478
Saskatoon,Prairies,317480,5490,1729.242787
Regina,Prairies,249217,6155,2469.735211
Sherbrooke,Quebec,227398,3815,1677.675265
Kelowna,British Columbia,222162,4290,1931.023307
Barrie,Ontario,212856,3410,1602.022024
St. John's,Atlantic,212579,4375,2058.058416
Abbotsford–Mission,British Columbia,195726,5840,2983.763016
Kingston,Ontario,172546,3320,1924.124581
Greater Sudbury,Ontario,170605,3560,2086.69148
Gatineau,Quebec,353293,5360,1517.154317
