PRUID,DGUID,PRNAME,PRENAME,PRFNAME,PREABBR,PRFABBR,LANDAREA
"10",2021A000210,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Newfoundland and Labrador,Terre-Neuve-et-Labrador,N.L.,T.-N.-L.,358170.3732
"11",2021A000211,Prince Edward Island / Île-du-Prince-Édouard,Prince Edward Island,Île-du-Prince-Édouard,P.E.I.,Î.-P.-É.,5681.1790
"12",2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084
"13",2021A000213,New Brunswick / Nouveau-Brunswick,New Brunswick,Nouveau-Brunswick,N.B.,N.-B.,71248.4981
"24",2021A000224,Quebec / Québec,Quebec,Québec,Que.,Qc,1298599.7477
"35",2021A000235,Ontario,Ontario,Ontario,Ont.,Ont.,892411.7626
"46",2021A000246,Manitoba,Manitoba,Manitoba,Man.,Man.,540310.1887
"47",2021A000247,Saskatchewan,Saskatchewan,Saskatchewan,Sask.,Sask.,577060.4042
"48",2021A000248,Alberta,Alberta,Alberta,Alta.,Alb.,634658.2668
"59",2021A000259,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,920686.5544
"60",2021A000260,Yukon,Yukon,Yukon,Y.T.,Yn,472345.4354
"61",2021A000261,Northwest Territories / Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,N.W.T.,T.N.-O.,1127711.9175
"62",2021A000262,Nunavut,Nunavut,Nunavut,Nvt.,Nt,1836993.7767
